iter	RMSE
0	59.45420201
1	56.63991539
2	53.95689754
3	51.38950531
4	48.97818969
5	46.67491422
6	44.46981018
7	42.37522541
8	40.39474667
9	38.51026626
10	36.72553132
11	35.02032641
12	33.39617565
13	31.85539808
14	30.39570339
15	29.00413578
16	27.67588324
17	26.41682634
18	25.21984744
19	24.08293643
20	22.99762721
21	21.97424728
22	20.9968621
23	20.07668154
24	19.19791441
25	18.35936856
26	17.56803107
27	16.8139202
28	16.09776746
29	15.42262313
30	14.77952198
31	14.17524757
32	13.60115056
33	13.04465941
34	12.52469364
35	12.02649712
36	11.55568744
37	11.10471308
38	10.68106543
39	10.28185577
40	9.909014056
41	9.552311718
42	9.213339912
43	8.889322351
44	8.58895312
45	8.302543066
46	8.033495787
47	7.781720426
48	7.539356563
49	7.310957577
50	7.096209742
51	6.89355625
52	6.703729032
53	6.525792555
54	6.357047299
55	6.200374125
56	6.051968103
57	5.913267273
58	5.780487326
59	5.656925962
60	5.539341439
61	5.429793871
62	5.326214165
63	5.229462565
64	5.139480826
65	5.055950476
66	4.974490883
67	4.90052091
68	4.831963719
69	4.765525884
70	4.705666932
71	4.647417696
72	4.593675452
73	4.543937533
74	4.494248793
75	4.451807973
76	4.40929237
77	4.369202146
78	4.334321344
79	4.300847933
80	4.270307573
81	4.241997268
82	4.211955915
83	4.184037135
84	4.158851662
85	4.13459023
86	4.113594442
87	4.094276498
88	4.074312147
89	4.054875316
90	4.038761926
91	4.0216182
92	4.005310841
93	3.990610217
94	3.975451666
95	3.962011702
96	3.949148935
97	3.938041204
98	3.928158692
99	3.918599981
100	3.908579876
101	3.899798042
102	3.891644275
103	3.881641537
104	3.872749873
105	3.865301462
106	3.858023591
107	3.851593134
108	3.845719242
109	3.839700499
110	3.833863664
111	3.828701145
112	3.822602701
113	3.817395645
114	3.810839962
115	3.804434465
116	3.799839588
117	3.795882013
118	3.791147422
119	3.786461059
120	3.783164027
121	3.779948147
122	3.775339945
123	3.771704639
124	3.767564458
125	3.762851429
126	3.758689675
127	3.755094229
128	3.752194773
129	3.748867073
130	3.74601485
131	3.743293079
132	3.739248959
133	3.736925505
134	3.734101077
135	3.731547023
136	3.728079847
137	3.725564086
138	3.722927974
139	3.71991324
140	3.717104035
141	3.713688363
142	3.71159847
143	3.709661189
144	3.70656286
145	3.703363605
146	3.700862905
147	3.697811349
148	3.695304885
149	3.692856884
150	3.691045443
151	3.688501195
152	3.686161624
153	3.684028956
154	3.681569832
155	3.679112272
156	3.677130321
157	3.675532534
158	3.673463622
159	3.671486361
160	3.669620879
161	3.667561287
162	3.665765585
163	3.663484085
164	3.662215481
165	3.660613029
166	3.658559248
167	3.656857166
168	3.655725747
169	3.654000114
170	3.652091021
171	3.650345484
172	3.649273136
173	3.647323595
174	3.645810491
175	3.644835611
176	3.642974784
177	3.641383121
178	3.639765584
179	3.637865267
180	3.636532401
181	3.635081661
182	3.633768452
183	3.632369106
184	3.630967996
185	3.630045264
186	3.628888254
187	3.627781111
188	3.626781792
189	3.62555748
190	3.624569234
191	3.623071362
192	3.621963297
193	3.620492167
194	3.618875607
195	3.617813124
196	3.61701816
197	3.615530925
198	3.614502025
199	3.613268432
200	3.612370119
201	3.611523033
202	3.610506796
203	3.609148651
204	3.608263585
205	3.606983964
206	3.605660451
207	3.604243392
208	3.603127321
209	3.602145217
210	3.601321931
211	3.600073512
212	3.59917414
213	3.597975802
214	3.597176327
215	3.595883515
216	3.595237441
217	3.594348282
218	3.593340279
219	3.592503241
220	3.591521982
221	3.590666529
222	3.589665981
223	3.588793684
224	3.587652843
225	3.586806983
226	3.585827869
227	3.585051613
228	3.584131079
229	3.583234157
230	3.582273942
231	3.581503779
232	3.580541851
233	3.579920413
234	3.579302196
235	3.578851577
236	3.578022237
237	3.57689429
238	3.575826768
239	3.575146797
240	3.574549658
241	3.573803816
242	3.573056056
243	3.571945422
244	3.571242591
245	3.570525745
246	3.569867823
247	3.56911172
248	3.568386371
249	3.567835718
250	3.567058598
251	3.566079407
252	3.565125683
253	3.564112402
254	3.563258653
255	3.562450221
256	3.561625868
257	3.561368958
258	3.56069763
259	3.560251185
260	3.55949217
261	3.558618916
262	3.557601702
263	3.556979437
264	3.556303486
265	3.555658031
266	3.554996826
267	3.554305036
268	3.55355506
269	3.552809285
270	3.552144836
