iter	Passed	Remaining
0	245	122713
1	343	85421
2	442	73341
3	545	67677
4	658	65231
5	772	63571
6	892	62883
7	1008	62045
8	1110	60593
9	1210	59331
10	1319	58666
11	1442	58681
12	1559	58436
13	1673	58087
14	1788	57838
15	1894	57316
16	1994	56659
17	2088	55930
18	2187	55374
19	2289	54941
20	2387	54461
21	2487	54044
22	2584	53590
23	2679	53151
24	2774	52714
25	2870	52335
26	2968	52009
27	3065	51669
28	3162	51360
29	3270	51231
30	3403	51496
31	3523	51531
32	3626	51319
33	3736	51213
34	3851	51164
35	3965	51114
36	4080	51065
37	4197	51037
38	4297	50803
39	4384	50419
40	4487	50237
41	4576	49906
42	4685	49794
43	4795	49703
44	4897	49514
45	4987	49223
46	5084	49002
47	5169	48680
48	5253	48354
49	5344	48102
50	5434	47844
51	5522	47574
52	5612	47333
53	5700	47081
54	5790	46846
55	5873	46570
56	5970	46402
57	6076	46310
58	6178	46183
59	6285	46096
60	6392	46006
61	6501	45927
62	6611	45859
63	6716	45753
64	6807	45559
65	6902	45386
66	6998	45226
67	7091	45054
68	7181	44860
69	7276	44695
70	7371	44541
71	7461	44352
72	7553	44184
73	7649	44036
74	7746	43896
75	7839	43734
76	7939	43616
77	8037	43482
78	8128	43316
79	8220	43156
80	8308	42980
81	8398	42810
82	8490	42658
83	8581	42500
84	8675	42359
85	8781	42273
86	8866	42090
87	8955	41929
88	9048	41785
89	9141	41644
90	9230	41487
91	9322	41345
92	9416	41210
93	9514	41096
94	9610	40971
95	9699	40818
96	9789	40672
97	9875	40511
98	9966	40370
99	10054	40217
100	10143	40071
101	10232	39925
102	10324	39794
103	10414	39656
104	10501	39506
105	10595	39382
106	10681	39231
107	10770	39093
108	10852	38929
109	10941	38793
110	11029	38651
111	11117	38512
112	11209	38389
113	11297	38251
114	11392	38139
115	11486	38022
116	11567	37865
117	11654	37728
118	11735	37574
119	11824	37445
120	11911	37310
121	11985	37134
122	12080	37028
123	12172	36910
124	12251	36754
125	12341	36631
126	12428	36504
127	12511	36361
128	12600	36239
129	12676	36080
130	12764	35955
131	12849	35821
132	12947	35726
133	13026	35578
134	13111	35449
135	13199	35328
136	13290	35213
137	13371	35076
138	13454	34942
139	13547	34835
140	13626	34694
141	13721	34593
142	13802	34456
143	13891	34342
144	13972	34208
145	14068	34112
146	14160	34004
147	14240	33870
148	14324	33745
149	14420	33648
150	14505	33525
151	14585	33392
152	14669	33268
153	14747	33134
154	14837	33025
155	14922	32905
156	15002	32775
157	15084	32650
158	15169	32532
159	15244	32395
160	15336	32292
161	15431	32195
162	15511	32068
163	15591	31944
164	15665	31806
165	15765	31721
166	15849	31603
167	15946	31513
168	16027	31391
169	16112	31278
170	16210	31189
171	16301	31087
172	16394	30988
173	16473	30864
174	16563	30761
175	16650	30651
176	16744	30557
177	16840	30464
178	16916	30336
179	16999	30221
180	17082	30106
181	17168	29998
182	17250	29882
183	17341	29782
184	17433	29683
185	17509	29559
186	17586	29436
187	17675	29333
188	17744	29198
189	17833	29096
190	17919	28989
191	18016	28901
192	18107	28803
193	18186	28686
194	18264	28567
195	18352	28465
196	18436	28355
197	18522	28251
198	18613	28153
199	18692	28038
200	18771	27924
201	18854	27815
202	18945	27718
203	19048	27638
204	19124	27520
205	19218	27428
206	19317	27342
207	19396	27229
208	19470	27109
209	19537	26980
210	19624	26878
211	19708	26773
212	19800	26679
213	19876	26563
214	19956	26454
215	20057	26372
216	20142	26268
217	20222	26159
218	20302	26049
219	20373	25930
220	20471	25844
221	20563	25750
222	20652	25653
223	20736	25550
224	20831	25460
225	20926	25370
226	21024	25284
227	21112	25187
228	21188	25074
229	21282	24983
230	21366	24881
231	21457	24787
232	21536	24679
233	21628	24585
234	21713	24485
235	21790	24376
236	21877	24277
237	21968	24183
238	22050	24080
239	22127	23970
240	22207	23865
241	22292	23766
242	22385	23674
243	22477	23582
244	22555	23476
245	22628	23363
246	22701	23252
247	22773	23141
248	22864	23048
249	22943	22943
250	23024	22840
251	23111	22744
252	23192	22642
253	23278	22545
254	23370	22453
255	23446	22347
256	23524	22243
257	23598	22134
258	23685	22039
259	23766	21938
260	23859	21848
261	23938	21745
262	24014	21640
263	24100	21544
264	24173	21437
265	24262	21343
266	24352	21251
267	24442	21158
268	24525	21061
269	24601	20957
270	24688	20862
271	24771	20764
272	24863	20673
273	24939	20570
274	25031	20480
275	25113	20382
276	25192	20281
277	25287	20193
278	25374	20099
279	25463	20007
280	25540	19905
281	25630	19813
282	25709	19713
283	25800	19622
284	25884	19526
285	25976	19437
286	26069	19347
287	26162	19258
288	26255	19169
289	26349	19080
290	26434	18985
291	26520	18891
292	26594	18788
293	26672	18688
294	26758	18594
295	26839	18497
296	26928	18405
297	27027	18320
298	27106	18222
299	27193	18128
300	27276	18033
301	27373	17946
302	27470	17860
303	27553	17764
304	27643	17673
305	27721	17574
306	27808	17482
307	27885	17383
308	27964	17285
309	28043	17187
310	28138	17100
311	28224	17007
312	28303	16909
313	28399	16822
314	28482	16727
315	28570	16635
316	28640	16533
317	28724	16440
318	28815	16349
319	28886	16248
320	28966	16152
321	29041	16053
322	29124	15959
323	29211	15867
324	29303	15778
325	29390	15687
326	29472	15592
327	29555	15498
328	29640	15405
329	29726	15313
330	29812	15221
331	29900	15130
332	29981	15035
333	30060	14940
334	30152	14851
335	30241	14760
336	30328	14669
337	30405	14572
338	30486	14479
339	30578	14389
340	30668	14299
341	30758	14210
342	30841	14117
343	30938	14030
344	31029	13940
345	31124	13853
346	31206	13759
347	31289	13666
348	31377	13575
349	31476	13489
350	31569	13401
351	31657	13310
352	31732	13214
353	31810	13119
354	31892	13026
355	31980	12935
356	32068	12845
357	32165	12758
358	32245	12664
359	32329	12572
360	32413	12480
361	32505	12391
362	32579	12295
363	32663	12204
364	32760	12117
365	32841	12023
366	32936	11936
367	33019	11844
368	33099	11750
369	33183	11659
370	33257	11564
371	33340	11472
372	33424	11380
373	33512	11290
374	33613	11204
375	33697	11112
376	33782	11021
377	33866	10930
378	33945	10837
379	34041	10750
380	34134	10661
381	34209	10567
382	34296	10477
383	34382	10386
384	34473	10297
385	34563	10207
386	34654	10118
387	34733	10026
388	34815	9934
389	34891	9841
390	34983	9752
391	35069	9661
392	35154	9571
393	35246	9482
394	35338	9393
395	35420	9302
396	35509	9212
397	35604	9124
398	35688	9033
399	35779	8944
400	35863	8854
401	35955	8765
402	36045	8675
403	36145	8588
404	36229	8498
405	36307	8406
406	36396	8316
407	36472	8224
408	36547	8131
409	36634	8041
410	36722	7952
411	36801	7860
412	36891	7771
413	36976	7681
414	37072	7593
415	37157	7502
416	37250	7414
417	37340	7325
418	37420	7234
419	37504	7143
420	37587	7053
421	37674	6963
422	37763	6874
423	37854	6785
424	37938	6695
425	38029	6606
426	38117	6516
427	38204	6426
428	38283	6335
429	38377	6247
430	38463	6157
431	38550	6068
432	38639	5978
433	38728	5889
434	38823	5801
435	38912	5711
436	39017	5624
437	39092	5533
438	39188	5445
439	39271	5355
440	39358	5265
441	39440	5175
442	39522	5085
443	39610	4995
444	39696	4906
445	39778	4816
446	39858	4725
447	39939	4635
448	40033	4547
449	40116	4457
450	40197	4367
451	40292	4278
452	40377	4189
453	40464	4099
454	40552	4010
455	40635	3920
456	40724	3831
457	40804	3741
458	40897	3653
459	40984	3563
460	41063	3473
461	41158	3385
462	41240	3295
463	41324	3206
464	41418	3117
465	41514	3028
466	41605	2940
467	41693	2850
468	41791	2762
469	41875	2672
470	41972	2584
471	42070	2495
472	42170	2407
473	42254	2317
474	42348	2228
475	42432	2139
476	42521	2050
477	42604	1960
478	42694	1871
479	42784	1782
480	42876	1693
481	42961	1604
482	43048	1515
483	43144	1426
484	43239	1337
485	43327	1248
486	43414	1158
487	43506	1069
488	43589	980
489	43678	891
490	43773	802
491	43873	713
492	43958	624
493	44020	534
494	44105	445
495	44190	356
496	44275	267
497	44363	178
498	44458	89
499	44546	0
